Merchant ID,Country,Merchant Link,Cashback,Deeplink,Image,Name,Terms
20715,"US, CA",http://www.harrys.com/,Up to 20% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=20715&url=http%3A%2F%2Fwww.harrys.com%2F,https://static.fatcoupon.com/images/20250610/f7a565a7-357a-40b2-b33e-0fe7e94a5118.png,Harry's,"20% Item Name is Harry's Plus Starter Set; (Jul 31, 2026 - Aug 31, 2026)\n5.6% New Customer Purchase;\n0.8% Existing Customer Purchase;\n$4 New Customer Trial Order + Subscription;\n0% Promo Code"
9,US,https://www.shipt.com/,Up to 12% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=9&url=https%3A%2F%2Fwww.shipt.com%2F,https://static.fatcoupon.com/images/20260309/37fa6143-75ba-46af-8b6d-fb29eae321fa.png,Shipt Consumer,"12% US Customer Started Membership;\n1.6% US Customer First Order;\n0% Promo Code, Derived State/Region is Alaska, West Virginia, Wyoming, All Other;"
20598,US,https://meowant.com/,13% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=20598&url=https%3A%2F%2Fmeowant.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/23e4ce85-3019-41ce-b8d8-5d2c26291e3d.jpg,Meowant,
51767,"US, CA, AU, CN, CZ, DE, ES, FR, IT, KR, PL, PT, UK",https://www.shelly.com/,3.2% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=51767&url=https%3A%2F%2Fwww.shelly.com%2F,https://static.fatcoupon.com/images/20250221/f53b1a7e-51bd-48de-a5d4-a1b9fa72f3e5.png,Shelly EU & US,
71455,US,https://buylarine.com/,Up to 9.6% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=71455&url=https%3A%2F%2Fbuylarine.com%2F,https://static.fatcoupon.com/images/20260227/c58896ef-4e91-433f-ae17-8525d34e265a.png,Larine Company,9.6% Online Sale;\n4% Recurring Sales;
11937,US,https://spothero.com/,2% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=11937&url=https%3A%2F%2Fspothero.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/1a8dfaa6-0b43-466f-8726-c2e43bae6f55.jpg,Spothero US,\n
16225,US,https://www.taylormadegolf.com/,2% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=16225&url=https%3A%2F%2Fwww.taylormadegolf.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/5a4b5198-7805-4a43-946f-24928d18d742.gif,Taylor Made,35 actions per day.
12844,US,https://www.choicehotels.com/,2% Cashback ,https://redirect.partner.fatcoupon.com/go?cid=575&mid=12844&url=https%3A%2F%2Fwww.choicehotels.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/27021490-8224-4667-bd7f-3d37e9f7f5d3.png,Choice Hotels,\n
24103,US,https://www.meshy.ai/,Up to 15% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=24103&url=https%3A%2F%2Fwww.meshy.ai%2F,https://d3itvsmwj0r86k.cloudfront.net/images/d5b5190d-ed69-4ea4-ae37-e3e012a323df.png,Meshy,
15971,US,https://www.katespade.com,Up to 1.6% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=15971&url=https%3A%2F%2Fwww.katespade.com,https://d3itvsmwj0r86k.cloudfront.net/images/5fcbce82-d914-4cd9-9b5e-dba428122576.png,Kate Spade,1.6% Base Cashback\n0% when SKU is on the list Gift Card SKUs\n0% when Customer Status equals employee\n0% when Quantity is greater than or equal to 3
23053,US,https://www.katespadeoutlet.com/,Up to 1.6% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=23053&url=https%3A%2F%2Fwww.katespadeoutlet.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/595406f5-57b7-4fee-8425-e4e5a2054533.jpg,Kate Spade Outlet,1.6% Base Cashback\n0% when Customer Status equals employee\n0% when Quantity is greater than or equal to 10\n0% when SKU is on the list Gift Card SKUs
74602,US,https://us.hilo.com,8% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=74602&url=https%3A%2F%2Fus.hilo.com,https://static.fatcoupon.com/images/20260720/211811dd-b33a-4de6-b705-85fddbeecb7e.png,Hilo USA,
27814,US,https://www.legalzoom.com/,12% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=27814&url=https%3A%2F%2Fwww.legalzoom.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/f3fd3cf8-e57a-4f16-97c1-709e977bffd9.png,LegalZoom,"12% Base Cashback\n0% Attorney-Led Trademark (ALTM), Prenup, Legal Advantage Plus Annual, Legal Advantage Plus Semi-Annual, Business Advisory Plan - Annual, Business Advisory Plan - Semi Annual, Shipping, Utility Patent, Design Patent, Provisional Patent\n0% Item Category is discount,fee"
11862,US,https://bedsurehome.com/,8% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=11862&url=https%3A%2F%2Fbedsurehome.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/cc026825-6c99-4e0c-9824-19f98ff2ca84.png,Bedsure,
71441,US,https://dewenwils.com/,20% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=71441&url=https%3A%2F%2Fdewenwils.com%2F,https://static.fatcoupon.com/images/20260226/a84ccef0-b31c-4004-80f6-a76c881dfb62.jpg,Dewenwils,
30155,US,https://torraslife.com/,10.4% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=30155&url=https%3A%2F%2Ftorraslife.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/20241223/d0e370ac-753d-4531-abfb-2b9dc8456ab7.png,TORRAS,
14334,US,https://www.jackrogersusa.com,8% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=14334&url=https%3A%2F%2Fwww.jackrogersusa.com,https://d3itvsmwj0r86k.cloudfront.net/images/ba24f5ff-df1d-41df-8a41-19f666e89ed5.png,Jack Rogers,8% Base Cashback\n0% when Coupon is not on the list Approved Codes \n0% when Coupon is on the list 9.29.22 Non-Commissionable Codes
12257,US,http://suzannesomers.com/,12% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=12257&url=http%3A%2F%2Fsuzannesomers.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/8e78c6da-2ce9-4fff-97ec-ede20a7a1c56.webp,Suzanne Somers,
43376,AU,https://www.thewinecollective.com.au/,Up to 9.6% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=43376&url=https%3A%2F%2Fwww.thewinecollective.com.au%2F,https://static.fatcoupon.com/images/20250922/3214b22f-6513-4f23-a314-26b149181d38.png,The Wine Collective,9.6% New Customer;\n3.2% Existing Customer;
73422,US,https://sleepyheadusa.com/,6% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=73422&url=https%3A%2F%2Fsleepyheadusa.com%2F,https://static.fatcoupon.com/images/20260520/8a4484e4-c2f1-4e3f-ae42-ea4b50e2aa83.png,Sleepyhead,
1824,"US, CA",https://www.sperry.com/us/en_US,5% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=1824&url=https%3A%2F%2Fwww.sperry.com%2Fus%2Fen_US,https://static.skimlinks.com/images/merchant_logos/advertiser_logo_13764.gif,Sperry,
65342,US,https://evelynbobbie.com,8% Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=65342&url=https%3A%2F%2Fevelynbobbie.com,https://static.fatcoupon.com/images/20250910/6985adf0-6b89-4a6e-ba30-d865af1abe86.png,Evelyn & Bobbie,
14311,US,https://www.1ink.com,$9.5 Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=14311&url=https%3A%2F%2Fwww.1ink.com,https://d3itvsmwj0r86k.cloudfront.net/images/b6552d45-17b4-49a1-b8fd-41fa2555a014.png,1ink.com,
73824,US,https://get.flickvpn.com/,$4.5 Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=73824&url=https%3A%2F%2Fget.flickvpn.com%2F,https://static.fatcoupon.com/images/20260627/b0b6d435-4be7-477e-af38-9dd1c845d8d1.jpg,Flick VPN,Converts on subscription via Apple Pay Free Trial. (iOS only)
73160,US,https://championlifeinsurance.com,$3 Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=73160&url=https%3A%2F%2Fchampionlifeinsurance.com,https://static.fatcoupon.com/images/20260514/3b6b0cff-fa01-43b6-be76-17d9963e8c33.png,Champion Life Insurance,
27722,US,https://remedymeds.com/,$40 Cashback,https://redirect.partner.fatcoupon.com/go?cid=575&mid=27722&url=https%3A%2F%2Fremedymeds.com%2F,https://d3itvsmwj0r86k.cloudfront.net/images/4473b5dc-35d6-44d6-bc5c-5d322a8ab3d5.jpeg,Remedy Meds,
